Index,imdb_score,genres
499,6.0,"Action,  Adventure,  Drama,  Sci-Fi"
500,5.8,"Adventure,  Comedy,  Drama,  Family,  Fantasy"
501,6.0,"Action,  Adventure,  Fantasy"
502,5.7,"Action,  Sci-Fi,  Thriller"
503,6.0,"Adventure,  Animation,  Family,  Fantasy"
504,7.8,"Documentary,  Drama"
505,4.2,"Action,  Adventure,  Horror,  Sci-Fi,  Thriller"
506,5.6,"Action,  Adventure,  Drama,  History,  Romance"
508,8.2,"Biography,  Drama"
509,8.5,"Adventure,  Animation,  Drama,  Family,  Musical"
510,5.8,"Action,  Adventure,  Comedy,  Family,  Fantasy,  Sci-Fi"
511,6.5,"Animation,  Comedy,  Family,  Fantasy,  Sci-Fi"
512,7.2,"Crime,  Drama,  Thriller"
513,6.7,"Action,  Adventure,  Western"
514,3.4,Comedy
515,5.9,"Action,  Crime,  Thriller"
516,7.8,"Adventure,  Animation,  Drama,  Family,  Fantasy"
517,5.9,"Sci-Fi,  Thriller"
518,4.1,"Adventure,  Animation,  Comedy,  Family,  Fantasy"
519,6.8,"Animation,  Comedy,  Family"
520,5.8,"Action,  Adventure,  Fantasy,  Sci-Fi"
521,7.5,"Animation,  Comedy,  Family,  Sci-Fi"
522,6.9,"Action,  Adventure,  Sci-Fi"
523,6.5,"Action,  Adventure,  Sci-Fi"
524,6.9,"Adventure,  Animation,  Comedy,  Family"
525,7.9,"Drama,  Sci-Fi,  Thriller"
526,7.4,"Action,  Adventure,  Sci-Fi"
527,6.7,"Action,  Crime,  Fantasy,  Thriller"
528,7.4,"Action,  Adventure,  Thriller"
